episode,total_reward
1,-903.1616922616959
2,-1277.384185910225
3,-778.3725156188011
4,-1035.0878410935402
5,-937.8627917766571
6,-958.6064972281456
7,-950.6466777324677
8,-1326.225217461586
9,-911.8191717267036
10,-875.1522725224495
11,-1214.8905294537544
12,-1041.7094687223434
13,-1010.7292724251747
14,-1130.7857728004456
15,-755.5194665789604
16,-926.9656754732132
17,-1214.884593486786
18,-845.6955372691154
19,-930.992828309536
20,-1124.2735954523087
21,-1326.5366179347038
22,-1118.2062163352966
23,-1004.4216923713684
24,-1224.2793685793877
25,-992.5135757923126
26,-1164.7967004776
27,-1169.1495591402054
28,-979.8659827709198
29,-1274.666196525097
30,-939.1608679890633
31,-1102.7335067391396
32,-1287.3818010091782
33,-1024.8908923268318
34,-1191.0800167322159
35,-1062.743509888649
36,-848.9409937858582
37,-1183.5741552710533
38,-1184.2138566374779
39,-973.2978034615517
40,-1161.1464678049088
41,-1276.8885256648064
42,-955.7484103441238
43,-1256.0544946789742
44,-1327.860083758831
45,-1327.940204501152
46,-1348.201830148697
47,-1334.7734377980232
48,-1190.8708409667015
49,-1298.6527643799782
50,-1238.8540126681328
51,-1321.5423879623413
52,-1330.987308561802
53,-1235.6433562636375
54,-1161.6442179083824
55,-813.6948580145836
56,-1235.720238685608
57,-1002.1875848174095
58,-1168.9238619804382
59,-897.7215739488602
60,-1255.0533740520477
61,-1270.1553480029106
62,-1205.2318645119667
63,-1250.9762544035912
64,-1136.9112528562546
65,-688.8817524313927
66,-1273.705187857151
67,-1171.1805456280708
68,-1048.450216948986
69,-1263.5303195118904
70,-1204.7595736384392
71,-1158.3356677293777
72,-1135.0852603316307
73,-811.9162645339966
74,-557.3489524126053
75,-910.1666382551193
76,-945.2817636728287
77,-881.3537533283234
78,-936.3146713972092
79,-1099.0003675818443
80,-1027.888770699501
81,-976.6069524288177
82,-717.1260300278664
83,-930.3722847104073
84,-888.3792815804482
85,-841.6741829514503
86,-846.9442146420479
87,-620.1973201036453
88,-942.0568207502365
89,-1145.6016920804977
90,-1596.6797934174538
91,-1041.607703447342
92,-581.7834604978561
93,-1097.353055715561
94,-1266.5707539916039
95,-1209.0420408844948
96,-1131.4101643562317
97,-817.5909153223038
98,-990.1356117129326
99,-1072.3784720897675
100,-807.2015066742897
101,-923.748128414154
102,-736.1598121523857
103,-739.3477362990379
104,-1033.4517729878426
105,-967.235181927681
106,-884.1419278979301
107,-925.2106159925461
108,-1063.8828825950623
109,-927.6971594691277
110,-1137.7278500199318
111,-903.1455064415932
112,-1161.4614017605782
113,-952.3608261346817
114,-1218.6693741083145
115,-1305.9731919765472
116,-1178.02255910635
117,-1206.7016404271126
118,-1274.8521400094032
119,-1082.5281582474709
120,-359.63303649425507
121,-1268.7077623009682
122,-813.828751385212
123,-1370.0623515844345
124,-901.4303718805313
125,-1248.9753410816193
126,-1707.8298875689507
127,-1281.179235816002
128,-1252.2542400360107
129,-1622.1594141721725
130,-973.4029811024666
131,-1160.720794081688
132,-1082.1076753735542
133,-1227.487973332405
134,-1037.4598470926285
135,-958.9761898517609
136,-1039.7903081178665
137,-1497.7533021569252
138,-1175.1077160835266
139,-1231.059731245041
140,-780.3629726171494
141,-1175.0689992904663
142,-1024.0690160989761
143,-868.6428520679474
144,-1064.9168319106102
145,-1227.305154144764
146,-923.8355097770691
147,-861.9315671920776
148,-853.4962587952614
149,-540.7861562371254
150,-1047.431513607502
151,-648.8761024475098
152,-1183.4395198822021
153,-867.1688660979271
154,-991.7667024731636
155,-1084.967187345028
156,-934.284687936306
157,-1269.4224846363068
158,-1203.305670440197
159,-888.2597704529762
160,-1078.6273392438889
161,-1072.7601045966148
162,-1154.5270644426346
163,-984.4847624897957
164,-1011.5542339086533
165,-943.3555275201797
166,-1068.6009308695793
167,-1106.84772002697
168,-1027.1340970993042
169,-1225.5805374383926
170,-1013.4299582242966
171,-1107.029903113842
172,-1043.8332676291466
173,-877.5571535825729
174,-1105.7307991981506
175,-1187.190774679184
176,-1041.1043682098389
177,-1019.6941354870796
178,-812.776938199997
179,-966.7920132875443
180,-1002.2149029970169
181,-733.022524535656
182,-797.9751191735268
183,-811.4378243088722
184,-957.8346520662308
185,-979.9009070396423
186,-982.459515452385
187,-853.7031646966934
188,-1207.245163500309
189,-1150.3548271656036
190,-680.404879450798
191,-740.383761703968
192,-1190.9332039356232
193,-1051.49590164423
194,-770.9736901521683
195,-1115.26000726223
196,-1121.2834538817406
197,-951.2385367751122
198,-794.6346861124039
199,-1110.6963158249855
200,-495.708271920681
201,-1344.8119714856148
202,-681.3229444026947
203,-1130.6127699613571
204,-1104.41785800457
205,-1069.2150682210922
206,-915.641275703907
207,-490.61971539258957
208,-476.57791888713837
209,-493.27020412683487
210,-871.3263524770737
211,-485.5424527525902
212,-488.80206686258316
213,-1212.5876699090004
214,-1199.1734897494316
215,-1089.1953396201134
216,-503.7291070818901
217,-752.9770845174789
218,-1089.9194783568382
219,-1095.4810168743134
220,-1073.6723430752754
221,-765.8687645792961
222,-1194.9846104979515
223,-478.8863444328308
224,-875.5825273394585
225,-499.46679985523224
226,-488.3300239443779
227,-498.3239434957504
228,-481.1253616809845
229,-495.00009912252426
230,-877.9117732644081
231,-873.8450229763985
232,-496.3379023075104
233,-487.5564441680908
234,-816.8045778870583
235,-1155.7083781957626
236,-1136.6824355721474
237,-1135.4899490475655
238,-1114.5864775776863
239,-619.7526564002037
240,-659.857416331768
241,-1141.4298443198204
242,-651.229674577713
243,-1127.3496778607368
244,-1162.5201603770256
245,-1149.8176404833794
